name,chain_name,prefecture,address,latitude,longitude,category,business_hours,official_url,source_checked_at
"ガチャガチャの森 カリーノ下通店","ガチャガチャの森","熊本県","熊本県熊本市中央区安政町1番2号 カリーノ下通2F","32.8023570","130.7096710","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール宇城店","ガチャガチャの森","熊本県","熊本県宇城市小川町河江1-1 イオンモール宇城1F","32.5949550","130.7053380","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 TSUTAYA天草店","ガチャガチャの森","熊本県","熊本県天草市南新町6番6","32.4535600","130.1945500","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール熊本店","ガチャガチャの森","熊本県","熊本県上益城郡嘉島町大字上島字長池2232 イオンモール熊本2F","32.7379420","130.7439880","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 大分オーパ店","ガチャガチャの森","大分県","大分県大分市中央町 1丁目2番17号 大分オーパ2F","33.2361640","131.6071930","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール三光店","ガチャガチャの森","大分県","大分県中津市三光佐知1032 イオンモール三光2F","33.5541570","131.1952820","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール宮崎店","ガチャガチャの森","宮崎県","宮崎県宮崎市新別府町江口862-1 イオンモール宮崎サウスモール2F","31.9243050","131.4524230","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon!イオンモール宮崎店","Pon!","宮崎県","宮崎県宮崎市新別府町江口862-1 イオンモール宮崎サウスモール2F","31.9243050","131.4524230","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール都城駅前店","ガチャガチャの森","宮崎県","宮崎県都城市栄町4672-5 イオンモール都城駅前2F","31.7354530","131.0803830","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon!イオンモール都城駅前店","Pon!","宮崎県","宮崎県都城市栄町4672-5 イオンモール都城駅前2F","31.7354530","131.0803830","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモールKAGOSHIMABAY店","ガチャガチャの森","鹿児島県","鹿児島県鹿児島市東開町7 イオンモールKAGOSHIMABAY3F","31.5272310","130.5365300","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 センテラス天文館店","ガチャガチャの森","鹿児島県","鹿児島県鹿児島市千日町1-1 センテラス天文館2F","31.5900040","130.5541690","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"Pon!サンキュー寿店","Pon!","鹿児島県","鹿児島県鹿屋市寿七丁目494番1","31.3844850","130.8695980","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンタウン姶良店","ガチャガチャの森","鹿児島県","鹿児島県姶良市西餅田264-1 イオンタウン姶良 東街区1F","31.7318270","130.6259160","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"
"ガチャガチャの森 イオンモール沖縄ライカム店","ガチャガチャの森","沖縄県","沖縄県中頭郡北中城村字ライカム1番地 イオンモール沖縄ライカム4F","26.3145750","127.7960430","ガチャ専門店","","https://www.gachagachanomori.com/shoplist/","2026-07-18"

